,AMZN,GDX,MSFT
2008-01-03,-0.010705747843259394,0.02909460834181088,0.003973885892705198
2008-01-04,-0.06766127337675998,-0.016409648082245876,-0.028555272830081968
2008-01-07,0.0011268875366239328,-0.013869346733668242,0.008440046565774129
2008-01-08,-0.010355695632597972,0.03179779861394194,-0.03434343434343423
2008-01-09,-0.03218835304822565,0.009482418016594218,0.029288702928870203
2008-01-10,-0.00951933247150083,0.018786692759295454,-0.0034843205574912606
2008-01-11,-0.0372567631703844,0.00922013061851712,-0.011655011655011593
2008-01-14,0.02132117328074945,0.014084507042253502,0.013856132075471761
2008-01-15,-0.031615783757692806,-0.0373498498498499,-0.011340505961035197
2008-01-16,0.0,-0.04406317020861761,-0.02323529411764702
2008-01-17,0.0011214953271028172,-0.022231286967163033,-0.005420054200542035
2008-01-18,-0.007966143888473942,0.006675010429703754,0.0009082652134424496
2008-01-22,-0.015307402760351252,0.02382925818483206,-0.03266787658802184
2008-01-23,-0.05708460754332323,-0.021453147136207162,0.0006253908692932519
2008-01-24,0.04959459459459459,0.04715615305067211,0.03875000000000006
2008-01-25,-0.000901248873439009,-0.001777602212127305,-0.008724428399518591
2008-01-28,-0.02306701030927827,0.013058963197467355,-0.006980273141123039
2008-01-29,-0.022556390977443663,-0.008398437500000022,-0.003056234718826434
2008-01-30,0.0014844804318487892,0.007878668505022723,-0.012875536480686511
2008-01-31,0.04392938957013892,-0.020128981825288328,0.01055900621118
2008-02-01,-0.03678843423260614,-0.01715197447147987,-0.06422864167178854
2008-02-04,-0.008978826051996847,-0.025974025974025983,-0.008538587848932577
2008-02-05,-0.02515212981744419,-0.03187499999999999,-0.03709837694600859
2008-02-06,-0.05215702593979754,0.008392511297611316,-0.01891984864121088
2008-02-07,0.039075076833016364,0.0,-0.014025245441795176
2008-02-08,0.03563380281690143,0.035211267605633756,0.01564722617354186
2008-02-11,0.022711818305453546,0.0008245722531436961,-0.012955182072829086
2008-02-12,-0.009840425531914998,-0.032337796086508774,0.005321035828307785
2008-02-13,0.04391619661563273,0.016602809706258048,0.022230063514467213
2008-02-14,-0.024829538144860552,-0.008793969849246075,-0.015533310321021676
2008-02-15,-0.03759894459102897,-0.00042247570764686326,-0.003506311360448766
2008-02-19,-0.01082933516106932,0.04691462383770073,-0.007741027445461013
2008-02-20,0.02037139689578704,0.023617278966491684,0.0010638297872340718
2008-02-21,-0.04902892842591333,0.0,-0.0038965639390718954
2008-02-22,0.02942016566695238,0.0007887990534412026,-0.013869132290184938
